"frame","particle","area","x","y","major","minor","circularity","convexity","label"
104,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.6644,3.7457,7.8077,6.6503,2.2332,0.6152,0.9216,"hi"
105,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.8338,3.7593,8.0125,6.3079,2.3886,0.6347,0.911,"hi"
106,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.2651,3.8947,9.1015,5.5864,2.5675,0.7428,0.9633,"hi"
107,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.9548,3.6951,10.3396,6.6446,2.2908,0.621,0.9204,"hi"
108,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.7975,3.5437,10.8523,6.8883,2.1807,0.589,0.9015,"hi"
109,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",12.0758,3.4929,11.5287,7.1599,2.1474,0.5708,0.9135,"hi"
110,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",11.2409,3.7641,11.2665,6.2493,2.2902,0.6608,0.9431,"hi"
111,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",10.527,3.8647,10.9267,5.4989,2.4375,0.7306,0.933,"hi"
112,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",9.9583,4.0195,10.8192,5.2714,2.4053,0.7143,0.9406,"hi"
113,"RoiMask_0_STL22_MAX_Maria_AFA4007_5-1.tif:0001-0001-0089:c:1/2 t:1/241 - 1 - Position 5.Project Maximum Z",9.3412,3.9054,10.5,4.8764,2.439,0.7454,0.9392,"hi"
